ticket_id,priority,open_group,routing_groups,closed_group,resolution_hours
TKT-0382,P4,Help Desk,,Help Desk,1.8
TKT-0383,P2,Help Desk,Application Development,Application Development,15.6
TKT-0384,P3,Security Operations,,Security Operations,1.6
TKT-0385,P3,Security Operations,Security Operations|Telephony|Network Operations,Network Operations,17.4
TKT-0386,P4,Help Desk,,Help Desk,0.6
TKT-0387,P2,Network Operations,,Network Operations,1.2
TKT-0388,P4,Help Desk,,Help Desk,0.3
TKT-0389,P1,Network Operations,Security Operations,Security Operations,31.5
TKT-0390,P2,Security Operations,Desktop Support,Desktop Support,19.0
TKT-0391,P3,Service Desk,,Service Desk,0.6
TKT-0392,P1,Help Desk,Desktop Support,Desktop Support,28.0
TKT-0393,P3,Security Operations,Desktop Support,Desktop Support,11.0
TKT-0394,P3,Service Desk,Network Operations|Storage & Backup|Application Development,Application Development,18.9
TKT-0395,P2,Network Operations,,Network Operations,0.7
TKT-0396,P3,Network Operations,Desktop Support|Identity & Access|Cloud Infrastructure,Cloud Infrastructure,19.9
TKT-0397,P1,Security Operations,Identity & Access|Cloud Infrastructure|Desktop Support,Desktop Support,33.3
TKT-0398,P2,Network Operations,,Network Operations,1.1
TKT-0399,P1,Network Operations,Desktop Support|Identity & Access|Security Operations,Security Operations,35.2
TKT-0400,P3,Security Operations,Storage & Backup|Email & Collaboration|Security Operations,Security Operations,16.8
TKT-0401,P3,Help Desk,Application Development,Application Development,11.3
TKT-0402,P3,Network Operations,,Network Operations,1.6
TKT-0403,P2,Help Desk,Telephony|Cloud Infrastructure|Network Operations,Network Operations,23.3
TKT-0404,P2,Security Operations,Database Administration|Telephony,Telephony,19.6
TKT-0405,P4,Network Operations,,Network Operations,0.5
TKT-0406,P4,Help Desk,Cloud Infrastructure|Storage & Backup|Email & Collaboration,Email & Collaboration,14.0
TKT-0407,P4,Help Desk,Database Administration|Desktop Support|Cloud Infrastructure,Cloud Infrastructure,11.4
TKT-0408,P3,Help Desk,,Help Desk,0.6
TKT-0409,P2,Security Operations,Network Operations|Database Administration|Cloud Infrastructure,Cloud Infrastructure,22.4
TKT-0410,P3,Network Operations,,Network Operations,0.4
TKT-0411,P1,Help Desk,Desktop Support|Telephony|Application Development,Application Development,33.3
TKT-0412,P4,Service Desk,,Service Desk,1.0
TKT-0413,P1,Service Desk,Telephony|Application Development|Storage & Backup,Storage & Backup,35.6
TKT-0414,P4,Security Operations,Storage & Backup|Identity & Access|Desktop Support,Desktop Support,13.3
TKT-0415,P2,Network Operations,Email & Collaboration|Security Operations|Telephony,Telephony,24.3
TKT-0416,P3,Service Desk,Security Operations|Telephony,Telephony,13.8
TKT-0417,P1,Security Operations,Security Operations|Telephony|Cloud Infrastructure,Cloud Infrastructure,37.5
TKT-0418,P2,Help Desk,Storage & Backup,Storage & Backup,19.2
TKT-0419,P2,Service Desk,Database Administration|Application Development|Network Operations,Network Operations,25.8
TKT-0420,P4,Network Operations,,Network Operations,1.7
TKT-0421,P3,Network Operations,,Network Operations,0.6
TKT-0422,P4,Help Desk,,Help Desk,1.8
TKT-0423,P3,Security Operations,,Security Operations,1.4
TKT-0424,P3,Service Desk,Security Operations,Security Operations,9.2
TKT-0425,P2,Security Operations,,Security Operations,0.2
TKT-0426,P1,Service Desk,Storage & Backup|Application Development|Database Administration,Database Administration,33.4
TKT-0427,P1,Security Operations,Security Operations,Security Operations,27.6
TKT-0428,P4,Security Operations,,Security Operations,1.3
TKT-0429,P2,Network Operations,Storage & Backup|Telephony,Telephony,19.8
TKT-0430,P2,Security Operations,Application Development|Network Operations,Network Operations,19.0
TKT-0431,P3,Security Operations,Security Operations|Database Administration,Database Administration,16.7
TKT-0432,P2,Network Operations,,Network Operations,1.0
TKT-0433,P3,Service Desk,Cloud Infrastructure|Desktop Support|Application Development,Application Development,19.8
TKT-0434,P3,Service Desk,Telephony|Email & Collaboration,Email & Collaboration,13.8
TKT-0435,P2,Network Operations,,Network Operations,1.7
TKT-0436,P1,Network Operations,,Network Operations,1.2
TKT-0437,P2,Network Operations,,Network Operations,1.6
TKT-0438,P1,Network Operations,Telephony|Cloud Infrastructure|Network Operations,Network Operations,33.8
TKT-0439,P3,Help Desk,Telephony|Security Operations,Security Operations,12.7
TKT-0440,P3,Network Operations,,Network Operations,0.2
TKT-0441,P2,Security Operations,Database Administration,Database Administration,17.0
TKT-0442,P4,Service Desk,,Service Desk,2.0
TKT-0443,P3,Help Desk,,Help Desk,1.6
TKT-0444,P4,Help Desk,,Help Desk,0.6
TKT-0445,P4,Security Operations,,Security Operations,1.5
TKT-0446,P3,Help Desk,Desktop Support|Application Development|Email & Collaboration,Email & Collaboration,19.9
TKT-0447,P4,Help Desk,Security Operations|Storage & Backup|Desktop Support,Desktop Support,12.2
TKT-0448,P2,Service Desk,Security Operations|Email & Collaboration,Email & Collaboration,18.3
TKT-0449,P1,Service Desk,Database Administration|Desktop Support,Desktop Support,32.8
TKT-0450,P1,Help Desk,Application Development|Desktop Support,Desktop Support,33.1
TKT-0451,P1,Security Operations,Database Administration,Database Administration,30.0
TKT-0452,P4,Service Desk,,Service Desk,1.3
TKT-0453,P4,Network Operations,,Network Operations,0.7
TKT-0454,P1,Security Operations,Identity & Access|Cloud Infrastructure|Storage & Backup,Storage & Backup,35.4
TKT-0455,P4,Network Operations,,Network Operations,1.7
TKT-0456,P1,Network Operations,Telephony|Cloud Infrastructure,Cloud Infrastructure,31.8
TKT-0457,P4,Security Operations,,Security Operations,0.5
TKT-0458,P1,Network Operations,Telephony,Telephony,27.1
TKT-0459,P1,Service Desk,Database Administration,Database Administration,29.8
TKT-0460,P2,Service Desk,Cloud Infrastructure|Email & Collaboration,Email & Collaboration,21.9
TKT-0461,P3,Security Operations,,Security Operations,1.7
TKT-0462,P4,Help Desk,,Help Desk,1.0
TKT-0463,P1,Network Operations,Identity & Access|Desktop Support|Database Administration,Database Administration,37.8
TKT-0464,P1,Help Desk,Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,32.5
TKT-0465,P4,Service Desk,Telephony,Telephony,7.5
TKT-0466,P1,Network Operations,Network Operations|Application Development,Application Development,34.6
TKT-0467,P1,Network Operations,Identity & Access,Identity & Access,31.7
TKT-0468,P1,Help Desk,Telephony,Telephony,30.8
TKT-0469,P1,Service Desk,Identity & Access|Network Operations,Network Operations,30.2
TKT-0470,P2,Security Operations,Desktop Support|Security Operations|Application Development,Application Development,21.5
TKT-0471,P3,Help Desk,,Help Desk,0.6
TKT-0472,P4,Network Operations,,Network Operations,1.8
TKT-0473,P2,Help Desk,Desktop Support,Desktop Support,18.0
TKT-0474,P2,Help Desk,,Help Desk,0.2
TKT-0475,P1,Network Operations,Identity & Access|Storage & Backup,Storage & Backup,31.1
TKT-0476,P2,Security Operations,Security Operations|Network Operations|Identity & Access,Identity & Access,23.6
TKT-0477,P4,Security Operations,,Security Operations,0.5
TKT-0478,P3,Service Desk,Identity & Access|Security Operations,Security Operations,16.9
TKT-0479,P1,Help Desk,Security Operations|Desktop Support,Desktop Support,30.8
TKT-0480,P4,Network Operations,,Network Operations,1.9
TKT-0481,P2,Security Operations,,Security Operations,0.5
TKT-0482,P2,Service Desk,Security Operations|Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,22.6
TKT-0483,P2,Help Desk,Cloud Infrastructure|Telephony|Network Operations,Network Operations,23.2
TKT-0484,P2,Security Operations,Storage & Backup,Storage & Backup,19.1
TKT-0485,P1,Network Operations,Storage & Backup|Cloud Infrastructure|Identity & Access,Identity & Access,34.3
TKT-0486,P1,Network Operations,Security Operations,Security Operations,31.4
TKT-0487,P1,Help Desk,Cloud Infrastructure|Application Development,Application Development,30.2
TKT-0488,P3,Service Desk,Security Operations,Security Operations,9.7
TKT-0489,P3,Network Operations,,Network Operations,1.6
TKT-0490,P4,Help Desk,Desktop Support|Database Administration|Storage & Backup,Storage & Backup,14.8
TKT-0491,P1,Network Operations,Telephony|Email & Collaboration|Identity & Access,Identity & Access,35.4
TKT-0492,P3,Network Operations,,Network Operations,1.6
TKT-0493,P1,Help Desk,Network Operations,Network Operations,28.6
TKT-0494,P3,Security Operations,Cloud Infrastructure|Telephony,Telephony,14.1
TKT-0495,P1,Network Operations,Email & Collaboration|Application Development|Network Operations,Network Operations,37.7
TKT-0496,P2,Security Operations,Application Development|Identity & Access|Database Administration,Database Administration,24.6
TKT-0497,P4,Security Operations,,Security Operations,1.2
TKT-0498,P2,Help Desk,Network Operations|Desktop Support|Application Development,Application Development,23.7
TKT-0499,P1,Network Operations,Database Administration,Database Administration,30.6
TKT-0500,P4,Service Desk,,Service Desk,0.9
TKT-0501,P3,Help Desk,Storage & Backup|Network Operations,Network Operations,12.9
TKT-0502,P3,Network Operations,Database Administration|Storage & Backup,Storage & Backup,12.6
TKT-0503,P4,Security Operations,,Security Operations,1.3
TKT-0504,P2,Network Operations,Storage & Backup|Telephony,Telephony,19.8
TKT-0505,P1,Network Operations,Telephony|Email & Collaboration|Application Development,Application Development,34.7
TKT-0506,P2,Security Operations,,Security Operations,2.0
TKT-0507,P3,Network Operations,Storage & Backup|Application Development,Application Development,13.8
TKT-0508,P4,Help Desk,,Help Desk,1.2
TKT-0509,P1,Service Desk,Security Operations|Identity & Access|Database Administration,Database Administration,33.5
TKT-0510,P2,Service Desk,Storage & Backup|Security Operations|Database Administration,Database Administration,21.4
TKT-0511,P2,Service Desk,,Service Desk,1.0
TKT-0512,P4,Security Operations,Security Operations|Storage & Backup,Storage & Backup,11.3
TKT-0513,P1,Service Desk,Security Operations|Application Development,Application Development,32.6
TKT-0514,P3,Security Operations,,Security Operations,1.5
TKT-0515,P2,Network Operations,Application Development|Cloud Infrastructure|Desktop Support,Desktop Support,24.0
TKT-0516,P2,Security Operations,,Security Operations,0.1
TKT-0517,P4,Help Desk,,Help Desk,1.2
TKT-0518,P3,Help Desk,,Help Desk,0.4
TKT-0519,P1,Service Desk,Database Administration|Security Operations|Storage & Backup,Storage & Backup,33.9
TKT-0520,P2,Service Desk,,Service Desk,1.6
TKT-0521,P1,Security Operations,Cloud Infrastructure|Security Operations|Desktop Support,Desktop Support,36.2
TKT-0522,P4,Help Desk,Desktop Support,Desktop Support,7.5
TKT-0523,P3,Network Operations,,Network Operations,1.7
TKT-0524,P1,Network Operations,Storage & Backup,Storage & Backup,31.1
TKT-0525,P3,Service Desk,,Service Desk,0.5
TKT-0526,P3,Security Operations,,Security Operations,1.4
TKT-0527,P2,Help Desk,Email & Collaboration|Identity & Access|Database Administration,Database Administration,22.2
TKT-0528,P3,Help Desk,Identity & Access|Network Operations|Storage & Backup,Storage & Backup,16.3
TKT-0529,P3,Security Operations,,Security Operations,1.9
TKT-0530,P4,Security Operations,Telephony|Email & Collaboration|Network Operations,Network Operations,12.8
TKT-0531,P4,Help Desk,,Help Desk,1.3
TKT-0532,P4,Network Operations,,Network Operations,1.1
TKT-0533,P1,Network Operations,Storage & Backup,Storage & Backup,31.6
TKT-0534,P1,Help Desk,Application Development|Telephony,Telephony,33.9
TKT-0535,P4,Service Desk,Database Administration|Telephony,Telephony,10.1
TKT-0536,P1,Help Desk,Desktop Support|Application Development|Telephony,Telephony,37.9
TKT-0537,P1,Service Desk,Application Development|Identity & Access|Network Operations,Network Operations,36.9
TKT-0538,P3,Service Desk,Cloud Infrastructure|Database Administration,Database Administration,13.0
TKT-0539,P3,Network Operations,Telephony|Email & Collaboration|Desktop Support,Desktop Support,17.5
TKT-0540,P3,Network Operations,,Network Operations,0.3
TKT-0541,P3,Help Desk,,Help Desk,0.8
TKT-0542,P1,Network Operations,Email & Collaboration|Application Development|Cloud Infrastructure,Cloud Infrastructure,37.4
TKT-0543,P2,Service Desk,Email & Collaboration|Database Administration|Telephony,Telephony,25.9
TKT-0544,P2,Help Desk,Cloud Infrastructure,Cloud Infrastructure,19.9
TKT-0545,P4,Service Desk,Email & Collaboration|Storage & Backup|Database Administration,Database Administration,14.7
TKT-0546,P3,Security Operations,Database Administration|Application Development|Storage & Backup,Storage & Backup,16.7
TKT-0547,P2,Service Desk,,Service Desk,1.8
TKT-0548,P2,Security Operations,,Security Operations,0.3
TKT-0549,P1,Help Desk,Email & Collaboration|Storage & Backup,Storage & Backup,34.8
TKT-0550,P4,Network Operations,,Network Operations,0.7
TKT-0551,P1,Network Operations,,Network Operations,0.4
TKT-0552,P4,Service Desk,,Service Desk,1.8
TKT-0553,P3,Service Desk,Email & Collaboration|Database Administration|Security Operations,Security Operations,16.2
TKT-0554,P1,Security Operations,Application Development|Desktop Support,Desktop Support,34.9
TKT-0555,P2,Network Operations,,Network Operations,1.4
TKT-0556,P1,Help Desk,Security Operations|Desktop Support|Storage & Backup,Storage & Backup,33.8
TKT-0557,P1,Help Desk,Telephony,Telephony,30.2
TKT-0558,P2,Network Operations,Database Administration,Database Administration,17.4
TKT-0559,P1,Network Operations,Security Operations|Application Development|Cloud Infrastructure,Cloud Infrastructure,36.5
TKT-0560,P3,Security Operations,Identity & Access|Database Administration,Database Administration,16.2
TKT-0561,P3,Service Desk,Database Administration|Telephony|Email & Collaboration,Email & Collaboration,17.6
TKT-0562,P1,Security Operations,Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,33.6
TKT-0563,P1,Help Desk,Identity & Access,Identity & Access,30.3
TKT-0564,P2,Help Desk,,Help Desk,0.2
TKT-0565,P4,Security Operations,,Security Operations,1.5
TKT-0566,P4,Security Operations,Identity & Access,Identity & Access,9.6
TKT-0567,P2,Network Operations,Network Operations|Database Administration|Email & Collaboration,Email & Collaboration,25.5
TKT-0568,P4,Network Operations,,Network Operations,0.3
TKT-0569,P4,Help Desk,Desktop Support,Desktop Support,6.0
TKT-0570,P2,Help Desk,Cloud Infrastructure,Cloud Infrastructure,19.5
TKT-0571,P4,Network Operations,Security Operations|Identity & Access,Identity & Access,11.5
TKT-0572,P1,Security Operations,Security Operations,Security Operations,28.4
TKT-0573,P1,Network Operations,Cloud Infrastructure|Identity & Access|Network Operations,Network Operations,36.0
TKT-0574,P2,Network Operations,Application Development,Application Development,19.9
TKT-0575,P3,Network Operations,,Network Operations,1.5
TKT-0576,P4,Help Desk,Telephony|Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,13.5
TKT-0577,P4,Help Desk,Security Operations|Network Operations|Desktop Support,Desktop Support,11.5
TKT-0578,P1,Help Desk,Security Operations|Network Operations,Network Operations,31.5
TKT-0579,P4,Network Operations,Cloud Infrastructure,Cloud Infrastructure,7.6
TKT-0580,P4,Network Operations,,Network Operations,1.5
TKT-0581,P4,Security Operations,,Security Operations,0.9
TKT-0582,P1,Security Operations,Email & Collaboration|Application Development,Application Development,30.9
TKT-0583,P4,Network Operations,,Network Operations,1.5
TKT-0584,P4,Security Operations,,Security Operations,0.1
TKT-0585,P3,Network Operations,,Network Operations,0.9
TKT-0586,P2,Service Desk,Desktop Support,Desktop Support,16.0
TKT-0587,P1,Service Desk,Security Operations,Security Operations,27.8
TKT-0588,P2,Network Operations,Desktop Support,Desktop Support,19.0
TKT-0589,P1,Help Desk,Telephony|Database Administration,Database Administration,34.0
TKT-0590,P4,Network Operations,Identity & Access,Identity & Access,7.7
TKT-0591,P1,Network Operations,Email & Collaboration|Cloud Infrastructure|Security Operations,Security Operations,35.8
TKT-0592,P1,Security Operations,Storage & Backup,Storage & Backup,31.6
TKT-0593,P2,Security Operations,Cloud Infrastructure,Cloud Infrastructure,16.1
TKT-0594,P2,Network Operations,Security Operations,Security Operations,19.3
TKT-0595,P4,Network Operations,,Network Operations,1.3
TKT-0596,P2,Security Operations,,Security Operations,1.5
TKT-0597,P1,Service Desk,Security Operations|Cloud Infrastructure|Email & Collaboration,Email & Collaboration,37.7
TKT-0598,P2,Security Operations,Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,18.2
TKT-0599,P4,Service Desk,,Service Desk,1.3
TKT-0600,P1,Network Operations,Security Operations|Database Administration,Database Administration,32.9
TKT-0601,P4,Network Operations,Network Operations|Email & Collaboration,Email & Collaboration,11.2
TKT-0602,P1,Service Desk,Network Operations,Network Operations,29.9
TKT-0603,P4,Network Operations,Email & Collaboration|Database Administration,Database Administration,12.3
TKT-0604,P2,Network Operations,Email & Collaboration|Cloud Infrastructure,Cloud Infrastructure,20.0
TKT-0605,P2,Security Operations,,Security Operations,0.2
TKT-0606,P1,Network Operations,Desktop Support|Security Operations|Network Operations,Network Operations,37.5
TKT-0607,P2,Help Desk,Telephony|Security Operations,Security Operations,21.9
TKT-0608,P2,Security Operations,Application Development,Application Development,15.0
TKT-0609,P1,Help Desk,Storage & Backup|Identity & Access|Database Administration,Database Administration,36.7
TKT-0610,P2,Network Operations,,Network Operations,1.8
TKT-0611,P4,Help Desk,Application Development|Identity & Access,Identity & Access,11.2
TKT-0612,P1,Network Operations,Security Operations|Telephony,Telephony,34.0
TKT-0613,P4,Security Operations,,Security Operations,0.4
TKT-0614,P1,Service Desk,Desktop Support|Cloud Infrastructure,Cloud Infrastructure,34.1
TKT-0615,P1,Network Operations,Database Administration|Cloud Infrastructure|Network Operations,Network Operations,37.3
TKT-0616,P1,Security Operations,Cloud Infrastructure,Cloud Infrastructure,29.3
TKT-0617,P3,Service Desk,,Service Desk,0.3
TKT-0618,P4,Service Desk,,Service Desk,1.8
TKT-0619,P4,Security Operations,,Security Operations,0.1
TKT-0620,P3,Service Desk,,Service Desk,1.5
TKT-0621,P3,Security Operations,Database Administration|Application Development|Storage & Backup,Storage & Backup,15.1
TKT-0622,P1,Help Desk,Identity & Access,Identity & Access,30.7
TKT-0623,P1,Help Desk,Telephony|Identity & Access,Identity & Access,31.9
TKT-0624,P4,Network Operations,Storage & Backup|Application Development,Application Development,8.2
TKT-0625,P3,Help Desk,Identity & Access,Identity & Access,11.8
TKT-0626,P1,Security Operations,Application Development|Security Operations,Security Operations,32.1
TKT-0627,P4,Network Operations,,Network Operations,0.6
TKT-0628,P4,Service Desk,,Service Desk,1.8
TKT-0629,P1,Service Desk,Cloud Infrastructure|Database Administration|Storage & Backup,Storage & Backup,37.5
TKT-0630,P2,Security Operations,,Security Operations,0.4
TKT-0631,P1,Security Operations,Email & Collaboration|Network Operations,Network Operations,33.8
TKT-0632,P4,Network Operations,,Network Operations,0.0
TKT-0633,P1,Network Operations,Database Administration,Database Administration,29.1
TKT-0634,P3,Network Operations,,Network Operations,1.9
TKT-0635,P3,Service Desk,Telephony|Application Development|Email & Collaboration,Email & Collaboration,15.5
TKT-0636,P4,Service Desk,Security Operations|Telephony|Network Operations,Network Operations,14.0
TKT-0637,P3,Service Desk,Email & Collaboration|Security Operations,Security Operations,15.5
TKT-0638,P1,Security Operations,Network Operations|Cloud Infrastructure|Email & Collaboration,Email & Collaboration,33.2
TKT-0639,P4,Security Operations,Database Administration,Database Administration,9.0
TKT-0640,P1,Network Operations,Storage & Backup|Identity & Access|Database Administration,Database Administration,34.0
TKT-0641,P2,Service Desk,Identity & Access|Network Operations,Network Operations,20.1
TKT-0642,P1,Security Operations,Database Administration,Database Administration,27.5
TKT-0643,P1,Network Operations,Email & Collaboration|Database Administration|Desktop Support,Desktop Support,33.8
TKT-0644,P4,Service Desk,,Service Desk,1.5
TKT-0645,P1,Service Desk,Telephony|Email & Collaboration,Email & Collaboration,32.1
TKT-0646,P2,Security Operations,,Security Operations,1.6
TKT-0647,P1,Security Operations,Email & Collaboration|Storage & Backup|Desktop Support,Desktop Support,37.1
TKT-0648,P1,Service Desk,Cloud Infrastructure,Cloud Infrastructure,30.2
TKT-0649,P2,Security Operations,Network Operations,Network Operations,16.4
TKT-0650,P1,Service Desk,Cloud Infrastructure,Cloud Infrastructure,31.9
TKT-0651,P2,Help Desk,Application Development|Email & Collaboration|Identity & Access,Identity & Access,22.2
TKT-0652,P1,Security Operations,Storage & Backup|Network Operations|Security Operations,Security Operations,38.0
TKT-0653,P3,Help Desk,Identity & Access|Email & Collaboration,Email & Collaboration,16.5
TKT-0654,P4,Security Operations,,Security Operations,1.1
TKT-0655,P4,Service Desk,Security Operations|Storage & Backup|Identity & Access,Identity & Access,11.4
TKT-0656,P2,Help Desk,Network Operations|Storage & Backup|Application Development,Application Development,23.3
TKT-0657,P4,Help Desk,Identity & Access|Telephony,Telephony,12.2
TKT-0658,P4,Service Desk,,Service Desk,0.1
TKT-0659,P1,Network Operations,Identity & Access|Email & Collaboration|Database Administration,Database Administration,36.5
TKT-0660,P1,Service Desk,Storage & Backup,Storage & Backup,30.8
TKT-0661,P2,Service Desk,Identity & Access|Security Operations|Database Administration,Database Administration,24.5
TKT-0662,P1,Help Desk,Desktop Support|Telephony|Security Operations,Security Operations,33.4
TKT-0663,P3,Network Operations,,Network Operations,0.3
TKT-0664,P3,Service Desk,Telephony|Identity & Access|Application Development,Application Development,19.8
TKT-0665,P4,Security Operations,,Security Operations,0.4
TKT-0666,P1,Help Desk,Application Development|Desktop Support,Desktop Support,33.5
TKT-0667,P3,Security Operations,Storage & Backup|Desktop Support,Desktop Support,12.7
TKT-0668,P1,Help Desk,Storage & Backup|Email & Collaboration,Email & Collaboration,33.6
TKT-0669,P3,Service Desk,,Service Desk,0.0
TKT-0670,P4,Security Operations,Security Operations,Security Operations,6.2
TKT-0671,P1,Network Operations,Identity & Access,Identity & Access,31.5
TKT-0672,P1,Network Operations,Storage & Backup,Storage & Backup,30.6
TKT-0673,P3,Service Desk,Database Administration,Database Administration,11.8
TKT-0674,P3,Help Desk,Desktop Support|Identity & Access,Identity & Access,12.9
TKT-0675,P2,Help Desk,Database Administration|Storage & Backup|Network Operations,Network Operations,25.4
TKT-0676,P2,Help Desk,,Help Desk,1.0
TKT-0677,P4,Network Operations,,Network Operations,1.1
TKT-0678,P3,Service Desk,Security Operations,Security Operations,10.6
TKT-0679,P3,Help Desk,,Help Desk,1.5
TKT-0680,P2,Network Operations,Identity & Access|Network Operations,Network Operations,22.9
TKT-0681,P4,Network Operations,,Network Operations,1.1
TKT-0682,P1,Security Operations,Database Administration,Database Administration,29.0
TKT-0683,P4,Help Desk,Cloud Infrastructure,Cloud Infrastructure,8.5
TKT-0684,P4,Network Operations,,Network Operations,0.9
TKT-0685,P1,Security Operations,Database Administration|Application Development,Application Development,34.9
TKT-0686,P1,Help Desk,Desktop Support,Desktop Support,30.7
TKT-0687,P2,Help Desk,,Help Desk,0.9
TKT-0688,P4,Security Operations,,Security Operations,1.3
TKT-0689,P1,Help Desk,Database Administration|Cloud Infrastructure,Cloud Infrastructure,34.8
TKT-0690,P3,Help Desk,Identity & Access,Identity & Access,9.2
TKT-0691,P3,Network Operations,Application Development|Database Administration|Security Operations,Security Operations,16.2
TKT-0692,P2,Help Desk,Cloud Infrastructure,Cloud Infrastructure,19.8
TKT-0693,P3,Network Operations,Security Operations|Storage & Backup,Storage & Backup,12.7
TKT-0694,P4,Service Desk,Email & Collaboration,Email & Collaboration,8.4
TKT-0695,P3,Security Operations,Email & Collaboration|Application Development,Application Development,13.9
TKT-0696,P3,Help Desk,,Help Desk,0.5
TKT-0697,P4,Help Desk,Network Operations|Telephony,Telephony,11.6
TKT-0698,P4,Service Desk,Storage & Backup|Network Operations,Network Operations,12.7
TKT-0699,P1,Security Operations,Network Operations|Security Operations|Email & Collaboration,Email & Collaboration,36.4
TKT-0700,P4,Network Operations,,Network Operations,1.1
TKT-0701,P1,Network Operations,Security Operations|Storage & Backup|Application Development,Application Development,34.9
TKT-0702,P1,Network Operations,Desktop Support,Desktop Support,29.7
TKT-0703,P3,Help Desk,,Help Desk,1.2
TKT-0704,P1,Help Desk,Desktop Support|Security Operations|Storage & Backup,Storage & Backup,33.2
TKT-0705,P3,Security Operations,,Security Operations,1.1
TKT-0706,P3,Network Operations,,Network Operations,1.3
TKT-0707,P3,Help Desk,Network Operations|Application Development,Application Development,12.4
TKT-0708,P2,Security Operations,Security Operations,Security Operations,16.9
TKT-0709,P4,Network Operations,,Network Operations,0.7
TKT-0710,P4,Network Operations,Security Operations|Email & Collaboration,Email & Collaboration,8.4
TKT-0711,P3,Security Operations,Email & Collaboration|Telephony,Telephony,12.8
TKT-0712,P4,Security Operations,,Security Operations,0.6
TKT-0713,P4,Service Desk,,Service Desk,0.0
TKT-0714,P1,Network Operations,Storage & Backup|Security Operations|Identity & Access,Identity & Access,37.4
TKT-0715,P1,Security Operations,Application Development,Application Development,29.9
TKT-0716,P1,Network Operations,,Network Operations,1.1
TKT-0717,P2,Security Operations,Telephony|Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,24.1
TKT-0718,P1,Service Desk,Telephony|Desktop Support,Desktop Support,33.5
TKT-0719,P4,Security Operations,,Security Operations,0.5
TKT-0720,P3,Network Operations,,Network Operations,0.5
TKT-0721,P2,Network Operations,Telephony|Application Development|Storage & Backup,Storage & Backup,22.2
TKT-0722,P3,Network Operations,Application Development|Telephony|Email & Collaboration,Email & Collaboration,18.4
TKT-0723,P2,Security Operations,Telephony,Telephony,18.9
TKT-0724,P4,Service Desk,,Service Desk,0.2
TKT-0725,P2,Network Operations,,Network Operations,1.1
TKT-0726,P1,Network Operations,Identity & Access|Telephony,Telephony,34.0
TKT-0727,P4,Service Desk,Database Administration|Email & Collaboration|Network Operations,Network Operations,12.0
TKT-0728,P2,Network Operations,,Network Operations,0.3
TKT-0729,P3,Service Desk,Application Development|Telephony,Telephony,12.1
TKT-0730,P2,Service Desk,Desktop Support|Network Operations,Network Operations,19.6
TKT-0731,P3,Network Operations,,Network Operations,0.9
TKT-0732,P1,Security Operations,Email & Collaboration|Network Operations|Storage & Backup,Storage & Backup,35.5
TKT-0733,P2,Network Operations,Cloud Infrastructure|Database Administration,Database Administration,19.6
TKT-0734,P1,Help Desk,Identity & Access,Identity & Access,31.6
TKT-0735,P4,Service Desk,Cloud Infrastructure,Cloud Infrastructure,9.5
TKT-0736,P3,Help Desk,,Help Desk,1.5
TKT-0737,P3,Help Desk,,Help Desk,0.7
TKT-0738,P1,Network Operations,,Network Operations,1.1
TKT-0739,P2,Network Operations,Network Operations|Email & Collaboration|Storage & Backup,Storage & Backup,25.5
TKT-0740,P2,Security Operations,,Security Operations,0.1
TKT-0741,P4,Security Operations,,Security Operations,1.5
TKT-0742,P3,Help Desk,,Help Desk,0.3
TKT-0743,P3,Security Operations,,Security Operations,0.1
TKT-0744,P1,Security Operations,Network Operations,Network Operations,29.5
TKT-0745,P3,Security Operations,,Security Operations,1.2
TKT-0746,P3,Network Operations,,Network Operations,0.2
TKT-0747,P2,Security Operations,Network Operations,Network Operations,15.3
TKT-0748,P4,Security Operations,Database Administration|Telephony,Telephony,12.1
TKT-0749,P4,Security Operations,Network Operations|Identity & Access,Identity & Access,9.2
TKT-0750,P1,Service Desk,Network Operations,Network Operations,30.9
TKT-0751,P4,Service Desk,,Service Desk,0.5
TKT-0752,P3,Help Desk,,Help Desk,1.1
TKT-0753,P1,Security Operations,,Security Operations,0.8
TKT-0754,P4,Service Desk,,Service Desk,1.4
TKT-0755,P4,Security Operations,,Security Operations,0.9
TKT-0756,P2,Help Desk,Security Operations|Network Operations,Network Operations,18.6
TKT-0757,P4,Security Operations,Desktop Support,Desktop Support,6.4
TKT-0758,P4,Service Desk,,Service Desk,0.5
TKT-0759,P2,Service Desk,Desktop Support,Desktop Support,19.8
TKT-0760,P2,Service Desk,Storage & Backup|Identity & Access,Identity & Access,18.5
TKT-0761,P3,Network Operations,Storage & Backup,Storage & Backup,13.8
TKT-0762,P2,Service Desk,Application Development|Cloud Infrastructure,Cloud Infrastructure,18.5
TKT-0763,P4,Help Desk,,Help Desk,1.6
TKT-0764,P1,Help Desk,Telephony,Telephony,30.8
TKT-0765,P3,Security Operations,Identity & Access|Application Development|Email & Collaboration,Email & Collaboration,17.0
TKT-0766,P2,Service Desk,Desktop Support|Email & Collaboration,Email & Collaboration,22.2
